name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Tarik Black","Los Angeles Lakers",2016-02-02,2015,2528393,1610612747,400828621,1,1,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-01-28,2015,2528393,1610612747,400828584,4,0,33,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Brandon Bass","Los Angeles Lakers",2016-03-22,2015,2745,1610612747,400828942,4,3,08,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Memphis Grizzlies",0,1,0,0.00,,0.00,0.00
"Jordan Clarkson","Los Angeles Lakers",2016-04-06,2015,2528426,1610612747,400829059,3,10,33,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Los Angeles Clippers",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-04-03,2015,2580365,1610612747,400829040,3,2,16,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-03-02,2015,2528393,1610612747,400828793,2,8,43,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-04-13,2015,2580365,1610612747,400829115,4,7,30,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Utah Jazz",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-01-05,2015,2528393,1610612747,400828411,4,0,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.60,"Speights, Marreese",9.10,13.90
"Brandon Bass","Los Angeles Lakers",2016-02-04,2015,2745,1610612747,400828634,3,0,03,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-04-10,2015,2580365,1610612747,400829082,2,6,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2015-11-10,2015,2528393,1610612747,400827995,2,10,56,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,1.40,"Johnson, Tyler",1.10,14.30
"Larry Nance Jr","Los Angeles Lakers",2016-03-06,2015,2580365,1610612747,400828818,4,6,11,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
